Mdense,SFR
40300746.7066469,1.3797524
88484880.8064181,4.3840389
103557191.9578060,6.0083646
79676137.6522420,6.8473116
93247987.7478833,7.6073585
81792498.0820460,11.2736859
184354884.5800790,9.1530997
161706937.6789240,4.5057570
245975493.5226260,5.2782484
233411066.0328280,6.3418893
345859278.1685550,7.2364085
426560880.9613030,7.2392916
486303080.7752850,7.4336174
499220280.6719090,8.2566880
526093115.4716810,9.1713479
554412504.5845200,11.6155698
374157993.9744620,11.6068976
273169770.3601860,11.5999646
273169770.3601860,14.3095097
204736580.7231780,13.9312753
259216259.2890520,18.1194749
221488429.4624640,24.8180696
273169770.3601860,22.9484289
311428700.6381320,24.8341394
404772152.4092450,33.1605315
499220280.6719090,26.8922033
449522488.3517140,19.1157675
584256315.4701200,21.2418349
759373448.5195290,17.2282110
1013193977.4366700,24.2452238
912329678.0076730,32.3516045
1125209516.5376400,39.9242632
961440032.0322240,54.6838775
648849855.9055830,49.1983900